Sequence,RES_OCC_SCH,RES_LIGHT_SCH,RES_EQP_SCH
595,0.87,0.829,1
596,0.87,0.986,0.93
597,0.87,1,0.89
598,1,0.692,0.85
599,1,0.384,0.71
600,1,0.16,0.58
601,1,0.067,0.45
602,1,0.067,0.41
603,1,0.067,0.39
604,1,0.067,0.38
605,1,0.187,0.38
606,1,0.394,0.43
607,1,0.44,0.54
608,0.85,0.393,0.65
609,0.39,0.172,0.66
610,0.25,0.119,0.67
611,0.25,0.119,0.69
612,0.25,0.119,0.7
613,0.25,0.119,0.69
614,0.25,0.119,0.66
615,0.25,0.119,0.65
616,0.25,0.206,0.68
617,0.3,0.439,0.8
618,0.52,0.616,1
619,0.87,0.829,1
620,0.87,0.986,0.93
621,0.87,1,0.89
622,1,0.692,0.85
623,1,0.384,0.71
624,1,0.16,0.58
625,1,0.067,0.45
626,1,0.067,0.41
627,1,0.067,0.39
628,1,0.067,0.38
629,1,0.187,0.38
630,1,0.394,0.43
631,1,0.44,0.54
632,0.85,0.393,0.65
633,0.39,0.172,0.66
634,0.25,0.119,0.67
635,0.25,0.119,0.69
636,0.25,0.119,0.7
637,0.25,0.119,0.69
638,0.25,0.119,0.66
639,0.25,0.119,0.65
640,0.25,0.206,0.68
641,0.3,0.439,0.8
642,0.52,0.616,1
643,0.87,0.829,1
644,0.87,0.986,0.93
645,0.87,1,0.89
646,1,0.692,0.85
647,1,0.384,0.71
648,1,0.16,0.58
649,1,0.067,0.45
650,1,0.067,0.41
651,1,0.067,0.39
652,1,0.067,0.38
653,1,0.187,0.38
654,1,0.394,0.43
655,1,0.44,0.54
656,0.85,0.393,0.65
657,0.39,0.172,0.66
658,0.25,0.119,0.67
659,0.25,0.119,0.69
660,0.25,0.119,0.7
661,0.25,0.119,0.69
662,0.25,0.119,0.66
663,0.25,0.119,0.65
664,0.25,0.206,0.68
665,0.3,0.439,0.8
666,0.52,0.616,1
667,0.87,0.829,1
668,0.87,0.986,0.93
669,0.87,1,0.89
670,1,0.692,0.85
671,1,0.384,0.71
672,1,0.16,0.58
673,1,0.067,0.45
674,1,0.067,0.41
675,1,0.067,0.39
676,1,0.067,0.38
677,1,0.187,0.38
678,1,0.394,0.43
679,1,0.44,0.54
680,0.85,0.393,0.65
681,0.39,0.172,0.66
682,0.25,0.119,0.67
683,0.25,0.119,0.69
684,0.25,0.119,0.7
685,0.25,0.119,0.69
686,0.25,0.119,0.66
687,0.25,0.119,0.65
688,0.25,0.206,0.68
689,0.3,0.439,0.8
690,0.52,0.616,1
691,0.87,0.829,1
692,0.87,0.986,0.93
693,0.87,1,0.89
694,1,0.692,0.85
695,1,0.384,0.71
696,1,0.16,0.58
697,1,0.067,0.45
698,1,0.067,0.41
699,1,0.067,0.39
700,1,0.067,0.38
701,1,0.187,0.38
702,1,0.394,0.43
703,1,0.44,0.54
704,0.85,0.393,0.65
705,0.39,0.172,0.66
706,0.25,0.119,0.67
707,0.25,0.119,0.69
708,0.25,0.119,0.7
709,0.25,0.119,0.69
710,0.25,0.119,0.66
711,0.25,0.119,0.65
712,0.25,0.206,0.68
713,0.3,0.439,0.8
714,0.52,0.616,1
715,0.87,0.829,1
716,0.87,0.986,0.93
717,0.87,1,0.89
718,1,0.692,0.85
719,1,0.384,0.71
720,1,0.16,0.58
721,1,0.067,0.45
722,1,0.067,0.41
723,1,0.067,0.39
724,1,0.067,0.38
725,1,0.187,0.38
726,1,0.394,0.43
727,1,0.44,0.54
728,0.85,0.393,0.65
729,0.39,0.172,0.66
730,0.25,0.119,0.67
731,0.25,0.119,0.69
732,0.25,0.119,0.7
733,0.25,0.119,0.69
734,0.25,0.119,0.66
735,0.25,0.119,0.65
736,0.25,0.206,0.68
737,0.3,0.439,0.8
738,0.52,0.616,1
739,0.87,0.829,1
740,0.87,0.986,0.93
741,0.87,1,0.89
742,1,0.692,0.85
743,1,0.384,0.71
744,1,0.16,0.58
745,1,0.067,0.45
746,1,0.067,0.41
747,1,0.067,0.39
748,1,0.067,0.38
749,1,0.187,0.38
750,1,0.394,0.43
751,1,0.44,0.54
752,0.85,0.393,0.65
753,0.39,0.172,0.66
754,0.25,0.119,0.67
755,0.25,0.119,0.69
756,0.25,0.119,0.7
757,0.25,0.119,0.69
758,0.25,0.119,0.66
759,0.25,0.119,0.65
760,0.25,0.206,0.68
761,0.3,0.439,0.8
762,0.52,0.616,1
763,0.87,0.829,1
764,0.87,0.986,0.93
765,0.87,1,0.89
766,1,0.692,0.85
767,1,0.384,0.71
768,1,0.16,0.58
769,1,0.067,0.45
770,1,0.067,0.41
771,1,0.067,0.39
772,1,0.067,0.38
773,1,0.187,0.38
774,1,0.394,0.43
775,1,0.44,0.54
776,0.85,0.393,0.65
777,0.39,0.172,0.66
778,0.25,0.119,0.67
779,0.25,0.119,0.69
780,0.25,0.119,0.7
781,0.25,0.119,0.69
782,0.25,0.119,0.66
783,0.25,0.119,0.65
784,0.25,0.206,0.68
785,0.3,0.439,0.8
786,0.52,0.616,1
787,0.87,0.829,1
788,0.87,0.986,0.93
789,0.87,1,0.89
790,1,0.692,0.85
791,1,0.384,0.71
792,1,0.16,0.58
793,1,0.067,0.45
794,1,0.067,0.41
795,1,0.067,0.39
796,1,0.067,0.38
797,1,0.187,0.38
798,1,0.394,0.43
799,1,0.44,0.54
800,0.85,0.393,0.65
801,0.39,0.172,0.66
802,0.25,0.119,0.67
803,0.25,0.119,0.69
804,0.25,0.119,0.7
805,0.25,0.119,0.69
806,0.25,0.119,0.66
807,0.25,0.119,0.65
808,0.25,0.206,0.68
809,0.3,0.439,0.8
810,0.52,0.616,1
811,0.87,0.829,1
812,0.87,0.986,0.93
813,0.87,1,0.89
814,1,0.692,0.85
815,1,0.384,0.71
816,1,0.16,0.58
817,1,0.067,0.45
818,1,0.067,0.41
819,1,0.067,0.39
820,1,0.067,0.38
821,1,0.187,0.38
822,1,0.394,0.43
823,1,0.44,0.54
824,0.85,0.393,0.65
825,0.39,0.172,0.66
826,0.25,0.119,0.67
827,0.25,0.119,0.69
828,0.25,0.119,0.7
829,0.25,0.119,0.69
830,0.25,0.119,0.66
831,0.25,0.119,0.65
832,0.25,0.206,0.68
833,0.3,0.439,0.8
834,0.52,0.616,1
835,0.87,0.829,1
836,0.87,0.986,0.93
837,0.87,1,0.89
838,1,0.692,0.85
839,1,0.384,0.71
840,1,0.16,0.58
841,1,0.067,0.45
842,1,0.067,0.41
843,1,0.067,0.39
844,1,0.067,0.38
845,1,0.187,0.38
846,1,0.394,0.43
847,1,0.44,0.54
848,0.85,0.393,0.65
849,0.39,0.172,0.66
850,0.25,0.119,0.67
851,0.25,0.119,0.69
852,0.25,0.119,0.7
853,0.25,0.119,0.69
854,0.25,0.119,0.66
855,0.25,0.119,0.65
856,0.25,0.206,0.68
857,0.3,0.439,0.8
858,0.52,0.616,1
859,0.87,0.829,1
860,0.87,0.986,0.93
861,0.87,1,0.89
862,1,0.692,0.85
863,1,0.384,0.71
864,1,0.16,0.58
865,1,0.067,0.45
866,1,0.067,0.41
867,1,0.067,0.39
868,1,0.067,0.38
869,1,0.187,0.38
870,1,0.394,0.43
871,1,0.44,0.54
872,0.85,0.393,0.65
873,0.39,0.172,0.66
874,0.25,0.119,0.67
875,0.25,0.119,0.69
876,0.25,0.119,0.7
877,0.25,0.119,0.69
878,0.25,0.119,0.66
879,0.25,0.119,0.65
880,0.25,0.206,0.68
881,0.3,0.439,0.8
882,0.52,0.616,1
883,0.87,0.829,1
884,0.87,0.986,0.93
885,0.87,1,0.89
886,1,0.692,0.85
887,1,0.384,0.71
888,1,0.16,0.58
889,1,0.067,0.45
890,1,0.067,0.41
891,1,0.067,0.39
892,1,0.067,0.38
893,1,0.187,0.38
894,1,0.394,0.43
895,1,0.44,0.54
896,0.85,0.393,0.65
897,0.39,0.172,0.66
898,0.25,0.119,0.67
899,0.25,0.119,0.69
900,0.25,0.119,0.7
901,0.25,0.119,0.69
902,0.25,0.119,0.66
903,0.25,0.119,0.65
904,0.25,0.206,0.68
905,0.3,0.439,0.8
906,0.52,0.616,1
907,0.87,0.829,1
908,0.87,0.986,0.93
909,0.87,1,0.89
910,1,0.692,0.85
911,1,0.384,0.71
912,1,0.16,0.58
913,1,0.067,0.45
914,1,0.067,0.41
915,1,0.067,0.39
916,1,0.067,0.38
917,1,0.187,0.38
918,1,0.394,0.43
919,1,0.44,0.54
920,0.85,0.393,0.65
921,0.39,0.172,0.66
922,0.25,0.119,0.67
923,0.25,0.119,0.69
924,0.25,0.119,0.7
925,0.25,0.119,0.69
926,0.25,0.119,0.66
927,0.25,0.119,0.65
928,0.25,0.206,0.68
929,0.3,0.439,0.8
930,0.52,0.616,1
931,0.87,0.829,1
932,0.87,0.986,0.93
933,0.87,1,0.89
934,1,0.692,0.85
935,1,0.384,0.71
936,1,0.16,0.58
937,1,0.067,0.45
938,1,0.067,0.41
939,1,0.067,0.39
940,1,0.067,0.38
941,1,0.187,0.38
942,1,0.394,0.43
943,1,0.44,0.54
944,0.85,0.393,0.65
945,0.39,0.172,0.66
946,0.25,0.119,0.67
947,0.25,0.119,0.69
948,0.25,0.119,0.7
949,0.25,0.119,0.69
950,0.25,0.119,0.66
951,0.25,0.119,0.65
952,0.25,0.206,0.68
953,0.3,0.439,0.8
954,0.52,0.616,1
955,0.87,0.829,1
956,0.87,0.986,0.93
957,0.87,1,0.89
958,1,0.692,0.85
959,1,0.384,0.71
960,1,0.16,0.58
961,1,0.067,0.45
962,1,0.067,0.41
963,1,0.067,0.39
964,1,0.067,0.38
965,1,0.187,0.38
966,1,0.394,0.43
967,1,0.44,0.54
968,0.85,0.393,0.65
969,0.39,0.172,0.66
970,0.25,0.119,0.67
971,0.25,0.119,0.69
972,0.25,0.119,0.7
973,0.25,0.119,0.69
974,0.25,0.119,0.66
975,0.25,0.119,0.65
976,0.25,0.206,0.68
977,0.3,0.439,0.8
978,0.52,0.616,1
979,0.87,0.829,1
980,0.87,0.986,0.93
981,0.87,1,0.89
982,1,0.692,0.85
983,1,0.384,0.71
984,1,0.16,0.58
985,1,0.067,0.45
986,1,0.067,0.41
987,1,0.067,0.39
988,1,0.067,0.38
989,1,0.187,0.38
990,1,0.394,0.43
991,1,0.44,0.54
992,0.85,0.393,0.65
993,0.39,0.172,0.66
994,0.25,0.119,0.67
995,0.25,0.119,0.69
996,0.25,0.119,0.7
